p10,p25,p50,p75,p90,metric,comid,result_type
96.4,136,184,214,229.60000000000002,DS_Dur_WS,20326431,observed
224.6,255,281,314,344,DS_Tim,20326431,observed
0,0.135,0.21,0.365,0.8210000000000004,DS_Mag_50,20326431,observed
0.11600000000000002,0.3375,0.5420000000000003,1.5300000000000011,4.940000000000001,DS_Mag_90,20326431,observed
3.2,4,5,8,10,FA_Dur,20326431,observed
1.195584585174805,1.5490786369948388,6.1535994903294,8.294413297951676,12.59232604783088,FA_Mag,20326431,observed
7.800000000000001,17,39,54,70.60000000000001,FA_Tim,20326431,observed
0.047857142857142786,0.06060606060606061,0.08831705079073782,0.17647058823529416,0.3250000000000001,SP_ROC,20326431,observed
23,48,79,108,153.8,SP_Dur,20326431,observed
0.35,1.5,7.5,26,53.20000000000002,SP_Mag,20326431,observed
157.4,179,204,218,231.60000000000002,SP_Tim,20326431,observed
52,69.5,120,138,172.5,Wet_BFL_Dur,20326431,observed
0.0775,0.1925,0.9400000000000002,3.9875,8.16,Wet_BFL_Mag_10,20326431,observed
0.275,0.6325000000000001,3.8,10,17.75,Wet_BFL_Mag_50,20326431,observed
29.5,49.5,94,117,133,Wet_Tim,20326431,observed
126.7,137,145,156,165.39999999999998,Peak_Tim_10,20326431,observed
70,120,150,170,226,Peak_Tim_2,20326431,observed
113.19999999999999,129,141,158,169.3,Peak_Tim_5,20326431,observed
1,1,1,4,8.2,Peak_Dur_10,20326431,observed
3,9,58,141,219,Peak_Dur_2,20326431,observed
1,1,2,6,25.8,Peak_Dur_5,20326431,observed
183.60000000000008,183.60000000000008,183.60000000000008,183.60000000000008,183.60000000000008,Peak_10,20326431,observed
5.45,5.45,5.45,5.45,5.45,Peak_2,20326431,observed
85.60000000000002,85.60000000000002,85.60000000000002,85.60000000000002,85.60000000000002,Peak_5,20326431,observed
1,1,1,1,2.3999999999999986,Peak_Fre_10,20326431,observed
1,2,4,5,9,Peak_Fre_2,20326431,observed
1,1,1,3,5.200000000000001,Peak_Fre_5,20326431,observed
