Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1978,208,253,1.3,4.8,3,16.998031680826458,52,0.06896551724137931,94,373,159,88,3.77,38.5,71,NA,129.5,NA,NA,10,NA,1257.9999999999998,224,880.0000000000001,NA,4,NA
1979,183,261,0.97,1.7,3,3.9865262700667943,50,0.040833333333333374,79,123,182,87,3.36,14,95,NA,NA,NA,NA,NA,NA,1257.9999999999998,224,880.0000000000001,NA,NA,NA
1980,178,293,1,1.7,1,12.99250306979777,24,0.060024009603841605,132,61,161,83,7.16,34,78,NA,122,NA,NA,7,NA,1257.9999999999998,224,880.0000000000001,NA,4,NA
1981,199,243,0.74,5.320000000000002,8,38.97339419856186,63,0.036144578313253094,68,149,175,70,1.79,7.85,105,NA,NA,NA,NA,NA,NA,1257.9999999999998,224,880.0000000000001,NA,NA,NA
1982,205,234,4.4,9.26,5,14.969692450806026,27,0.1471953578336557,38,898,196,120,13.9,42,76,95,164,143.5,1,16,2,1257.9999999999998,224,880.0000000000001,1,4,2
1983,143,259,3.4,8.9,4,8.502000671075919,25,0.058823529411764705,44,234,215,142,12,77,73,NA,134,152,NA,21,1,1257.9999999999998,224,880.0000000000001,NA,11,1
1984,51,339,0.58,1.7,NA,NA,NA,0.06250000000000006,167,17,172,136,9.35,17.5,36,NA,85,NA,NA,1,NA,1257.9999999999998,224,880.0000000000001,NA,1,NA
1985,215,259,0.54,5.519999999999999,1,9.723002574530133,15,0.055555555555555684,79,47,180,156,3.3499999999999996,5.8,24,NA,NA,NA,NA,NA,NA,1257.9999999999998,224,880.0000000000001,NA,NA,NA
1986,274,202,1.5,7.2,10,4.6535803560622915,20,0.07019704433497537,33,416,169,61,9.2,60,108,139,161.5,139,1,12,2,1257.9999999999998,224,880.0000000000001,1,4,1
1987,197,220,0.32,1.2,5,3.976976839251215,65,0.054545454545454515,52,16,168,58,1.57,3.55,110,NA,135,NA,NA,1,NA,1257.9999999999998,224,880.0000000000001,NA,1,NA
1988,196,238,0.4,0.87,NA,NA,NA,0.13843888070692192,15,2.6,223,172,1.3,2.5,51,NA,NA,NA,NA,NA,NA,1257.9999999999998,224,880.0000000000001,NA,NA,NA
1989,184,197,0.59,1.3,2,1.9432706382948988,47,0.09878048780487796,17,28,180,112,1,2.6,68,NA,NA,NA,NA,NA,NA,1257.9999999999998,224,880.0000000000001,NA,NA,NA
1990,223,285,0.47,1.3,NA,NA,NA,0.12002133712660024,42,25,243,228,1.8,2.9,15,NA,NA,NA,NA,NA,NA,1257.9999999999998,224,880.0000000000001,NA,NA,NA
1991,267,219,0.63,1.7,6,2.9741529970865757,71,0.05882352941176463,40,103,179,37,1,13,142,NA,NA,NA,NA,NA,NA,1257.9999999999998,224,880.0000000000001,NA,NA,NA
1992,256,230,0.56,2.2,6,7.7722238211110275,25,0.0277777777777778,60,38,170,50,0.88,16,120,NA,135,NA,NA,2,NA,1257.9999999999998,224,880.0000000000001,NA,2,NA
