comid,metric,p10,p25,p50,p75,p90,source,result_type
2770154,Peak_Dur_2,1,1,4,10,29,inferred,predicted
2770154,Peak_Dur_5,1,1,2,3,6,inferred,predicted
2770154,Peak_Fre_2,1,1,2,3,5,inferred,predicted
2770154,Peak_Fre_5,1,1,1,2,3,inferred,predicted
2770154,Peak_10,4806.66313183019,6008.49560142792,8640.17920496546,10539.606823545699,14355.8143252798,model,predicted
2770154,Peak_2,1471.7148391293301,2138.470737749,3172.7361511152803,4177.763082169439,5493.48267748503,model,predicted
2770154,Peak_5,3176.4811782537,3844.2569462015003,6272.8121976803195,7448.0819022022415,9459.7123460404,model,predicted
2770154,DS_Dur_WS,97.8208333333334,123.8,151.5125,179.116666666667,204.866666666667,model,predicted
2770154,DS_Mag_50,18.3347953777313,27.9100647660453,43.0373220554623,59.9583809348327,75.7030877326289,model,predicted
2770154,DS_Mag_90,31.6696116983619,44.217168643712,63.860674787189,93.884016386567,134.685384339917,model,predicted
2770154,DS_Tim,253,267.59375,284.5,299.302083333333,316.8875,model,predicted
2770154,FA_Dur,2,3,4,6,8,obs,predicted
2770154,FA_Mag,49.0567907039807,81.294137088005,136.080886634067,261.95243903737,422.318254484144,model,predicted
2770154,FA_Tim,6.7375,12,22.45,28,43.32,model,predicted
2770154,Peak_Dur_10,1,1,1,2,4,obs,predicted
2770154,Peak_Fre_10,1,1,1,1,2,obs,predicted
2770154,SP_Dur,44.7,57,76.4916666666666,115.40625,150.73,model,predicted
2770154,SP_Mag,389.409445491843,634.941730579048,1078.24435968388,1737.62977453327,3151.40573429226,model,predicted
2770154,SP_ROC,0.03845705116239,0.0486334288519571,0.0625000000000001,0.0813201980740652,0.114111705288176,obs,predicted
2770154,SP_Tim,147.57,182.84375,214.875,234.2125,244.4,model,predicted
2770154,Wet_BFL_Dur,61.825,102.879166666666,145.65,174.733333333334,196.28,model,predicted
2770154,Wet_BFL_Mag_10,58.223029003331,76.1667237608991,127.638858486058,168.589699197152,228.585973487623,model,predicted
2770154,Wet_BFL_Mag_50,206.654980492259,282.974585955442,397.722333703291,489.273057962841,621.494802934288,model,predicted
2770154,Wet_Tim,39.885,52.7395833333333,66.5,84.275,98,model,predicted
