metric,status_code,status,alteration_type,median_in_iqr,comid,gageid
DS_Dur_WS,1,likely_unaltered,none_found,TRUE,20247268,10251300
DS_Tim,1,likely_unaltered,none_found,TRUE,20247268,10251300
DS_Mag_50,-1,likely_altered,low,FALSE,20247268,10251300
DS_Mag_90,-1,likely_altered,low,FALSE,20247268,10251300
FA_Dur,1,likely_unaltered,none_found,TRUE,20247268,10251300
FA_Mag,-1,likely_altered,low,FALSE,20247268,10251300
FA_Tim,1,likely_unaltered,none_found,TRUE,20247268,10251300
SP_ROC,-1,likely_altered,high,FALSE,20247268,10251300
SP_Dur,1,likely_unaltered,none_found,TRUE,20247268,10251300
SP_Mag,-1,likely_altered,low,FALSE,20247268,10251300
SP_Tim,1,likely_unaltered,none_found,TRUE,20247268,10251300
Wet_BFL_Dur,1,likely_unaltered,none_found,TRUE,20247268,10251300
Wet_BFL_Mag_10,-1,likely_altered,low,FALSE,20247268,10251300
Wet_BFL_Mag_50,-1,likely_altered,low,FALSE,20247268,10251300
Wet_Tim,1,likely_unaltered,none_found,TRUE,20247268,10251300
Peak_Dur_10,1,likely_unaltered,none_found,TRUE,20247268,10251300
Peak_Dur_2,1,likely_unaltered,none_found,TRUE,20247268,10251300
Peak_Dur_5,1,likely_unaltered,none_found,TRUE,20247268,10251300
Peak_10,-1,likely_altered,low,FALSE,20247268,10251300
Peak_2,-1,likely_altered,low,FALSE,20247268,10251300
Peak_5,-1,likely_altered,low,FALSE,20247268,10251300
Peak_Fre_10,1,likely_unaltered,none_found,TRUE,20247268,10251300
Peak_Fre_2,1,likely_unaltered,none_found,TRUE,20247268,10251300
Peak_Fre_5,1,likely_unaltered,none_found,TRUE,20247268,10251300
DS_Dur_WS,1,likely_unaltered,none_found,TRUE,20247386,10251330
DS_Tim,1,likely_unaltered,none_found,TRUE,20247386,10251330
DS_Mag_50,-1,likely_altered,low,FALSE,20247386,10251330
DS_Mag_90,-1,likely_altered,low,FALSE,20247386,10251330
FA_Dur,1,likely_unaltered,none_found,FALSE,20247386,10251330
FA_Mag,-1,likely_altered,low,FALSE,20247386,10251330
FA_Tim,1,likely_unaltered,none_found,TRUE,20247386,10251330
SP_ROC,1,likely_unaltered,none_found,FALSE,20247386,10251330
SP_Dur,1,likely_unaltered,none_found,FALSE,20247386,10251330
SP_Mag,-1,likely_altered,low,FALSE,20247386,10251330
SP_Tim,1,likely_unaltered,none_found,TRUE,20247386,10251330
Wet_BFL_Dur,1,likely_unaltered,none_found,TRUE,20247386,10251330
Wet_BFL_Mag_10,-1,likely_altered,low,FALSE,20247386,10251330
Wet_BFL_Mag_50,-1,likely_altered,low,FALSE,20247386,10251330
Wet_Tim,1,likely_unaltered,none_found,TRUE,20247386,10251330
Peak_Dur_10,1,likely_unaltered,none_found,TRUE,20247386,10251330
Peak_Dur_2,1,likely_unaltered,none_found,TRUE,20247386,10251330
Peak_Dur_5,1,likely_unaltered,none_found,TRUE,20247386,10251330
Peak_10,-1,likely_altered,low,FALSE,20247386,10251330
Peak_2,-1,likely_altered,low,FALSE,20247386,10251330
Peak_5,-1,likely_altered,low,FALSE,20247386,10251330
Peak_Fre_10,1,likely_unaltered,none_found,TRUE,20247386,10251330
Peak_Fre_2,1,likely_unaltered,none_found,TRUE,20247386,10251330
Peak_Fre_5,1,likely_unaltered,none_found,TRUE,20247386,10251330
DS_Dur_WS,1,likely_unaltered,none_found,TRUE,22591891,10257548
DS_Tim,0,indeterminate,late,FALSE,22591891,10257548
DS_Mag_50,-1,likely_altered,low,FALSE,22591891,10257548
DS_Mag_90,0,indeterminate,unknown,TRUE,22591891,10257548
FA_Dur,1,likely_unaltered,none_found,FALSE,22591891,10257548
FA_Mag,-1,likely_altered,high,FALSE,22591891,10257548
FA_Tim,-1,likely_altered,early,FALSE,22591891,10257548
SP_ROC,1,likely_unaltered,none_found,TRUE,22591891,10257548
SP_Dur,1,likely_unaltered,none_found,TRUE,22591891,10257548
SP_Mag,-1,likely_altered,high,FALSE,22591891,10257548
SP_Tim,1,likely_unaltered,none_found,TRUE,22591891,10257548
Wet_BFL_Dur,1,likely_unaltered,none_found,TRUE,22591891,10257548
Wet_BFL_Mag_10,0,indeterminate,unknown,TRUE,22591891,10257548
Wet_BFL_Mag_50,-1,likely_altered,high,FALSE,22591891,10257548
Wet_Tim,0,indeterminate,early,FALSE,22591891,10257548
Peak_Dur_10,1,likely_unaltered,none_found,TRUE,22591891,10257548
Peak_Dur_2,-1,likely_altered,high,FALSE,22591891,10257548
Peak_Dur_5,1,likely_unaltered,none_found,TRUE,22591891,10257548
Peak_10,-1,likely_altered,high,FALSE,22591891,10257548
Peak_2,-1,likely_altered,high,FALSE,22591891,10257548
Peak_5,-1,likely_altered,high,FALSE,22591891,10257548
Peak_Fre_10,1,likely_unaltered,none_found,TRUE,22591891,10257548
Peak_Fre_2,-1,likely_altered,high,FALSE,22591891,10257548
Peak_Fre_5,1,likely_unaltered,none_found,TRUE,22591891,10257548
DS_Dur_WS,1,likely_unaltered,none_found,TRUE,22591891,10257549
DS_Tim,1,likely_unaltered,none_found,TRUE,22591891,10257549
DS_Mag_50,-1,likely_altered,low,FALSE,22591891,10257549
DS_Mag_90,1,likely_unaltered,none_found,FALSE,22591891,10257549
FA_Dur,1,likely_unaltered,none_found,TRUE,22591891,10257549
FA_Mag,-1,likely_altered,low,FALSE,22591891,10257549
FA_Tim,-1,likely_altered,early,FALSE,22591891,10257549
SP_ROC,1,likely_unaltered,none_found,TRUE,22591891,10257549
SP_Dur,1,likely_unaltered,none_found,FALSE,22591891,10257549
SP_Mag,1,likely_unaltered,none_found,TRUE,22591891,10257549
SP_Tim,1,likely_unaltered,none_found,FALSE,22591891,10257549
Wet_BFL_Dur,1,likely_unaltered,none_found,TRUE,22591891,10257549
Wet_BFL_Mag_10,-1,likely_altered,low,FALSE,22591891,10257549
Wet_BFL_Mag_50,1,likely_unaltered,none_found,FALSE,22591891,10257549
Wet_Tim,1,likely_unaltered,none_found,TRUE,22591891,10257549
Peak_Dur_10,1,likely_unaltered,none_found,TRUE,22591891,10257549
Peak_Dur_2,-1,likely_altered,high,FALSE,22591891,10257549
Peak_Dur_5,1,likely_unaltered,none_found,TRUE,22591891,10257549
Peak_10,1,likely_unaltered,none_found,FALSE,22591891,10257549
Peak_2,-1,likely_altered,low,FALSE,22591891,10257549
Peak_5,1,likely_unaltered,none_found,FALSE,22591891,10257549
Peak_Fre_10,1,likely_unaltered,none_found,TRUE,22591891,10257549
Peak_Fre_2,1,likely_unaltered,none_found,TRUE,22591891,10257549
Peak_Fre_5,1,likely_unaltered,none_found,TRUE,22591891,10257549
DS_Dur_WS,1,likely_unaltered,none_found,TRUE,22591891,10257550
DS_Tim,0,indeterminate,late,FALSE,22591891,10257550
DS_Mag_50,0,indeterminate,unknown,TRUE,22591891,10257550
DS_Mag_90,-1,likely_altered,high,FALSE,22591891,10257550
FA_Dur,1,likely_unaltered,none_found,FALSE,22591891,10257550
