p10,p25,p50,p75,p90,metric,comid,result_type,gageid
30.799999999999997,65.5,112,169,275.40000000000003,DS_Dur_WS,22595293,observed,10255800
257.3,300,317.5,334.75,354.7,DS_Tim,22595293,observed,10255800
0.458,1.05,1.5,1.85,2.28,DS_Mag_50,22595293,observed,10255800
1.1,1.3199999999999998,2,2.5,3.16,DS_Mag_90,22595293,observed,10255800
3,4,4.5,6.5,9.5,FA_Dur,22595293,observed,10255800
2.1085866843332486,3.497589521374416,5.8148060994813875,6.446262859733608,15.302797087121608,FA_Mag,22595293,observed,10255800
11.5,19.75,38,54,57,FA_Tim,22595293,observed,10255800
0.04997996794871795,0.0586134453781512,0.07852564102564105,0.1250000000000001,0.18375,SP_ROC,22595293,observed,10255800
13,47.25,127,193.5,250.5,SP_Dur,22595293,observed,10255800
1.3,2.3,4.3,88,173.00000000000003,SP_Mag,22595293,observed,10255800
57,154,188,252,304,SP_Tim,22595293,observed,10255800
18,28,128,187,243,Wet_BFL_Dur,22595293,observed,10255800
0.30320000000000014,1.2,1.4,1.9,2.16,Wet_BFL_Mag_10,22595293,observed,10255800
0.8200000000000001,1.4,1.9,2.5,3.1800000000000006,Wet_BFL_Mag_50,22595293,observed,10255800
7.6,15,39,109,281.2,Wet_Tim,22595293,observed,10255800
193.6,262,309.5,319.25,319.7,Peak_Tim_10,22595293,observed,10255800
86.2,150,300,319,331,Peak_Tim_2,22595293,observed,10255800
40.2,100.5,300,319.5,335.6,Peak_Tim_5,22595293,observed,10255800
1,1,1,2.25,4.500000000000001,Peak_Dur_10,22595293,observed,10255800
1,1,1,2,2.8000000000000007,Peak_Dur_2,22595293,observed,10255800
1,1,1,1,3.0000000000000018,Peak_Dur_5,22595293,observed,10255800
197.2,197.2,197.2,197.2,197.2,Peak_10,22595293,observed,10255800
45,45,45,45,45,Peak_2,22595293,observed,10255800
110.20000000000002,110.20000000000002,110.20000000000002,110.20000000000002,110.20000000000002,Peak_5,22595293,observed,10255800
1,1,1,1.25,1.7000000000000002,Peak_Fre_10,22595293,observed,10255800
1,1,1,2,2,Peak_Fre_2,22595293,observed,10255800
1,1,1,1,1.4000000000000004,Peak_Fre_5,22595293,observed,10255800
101.4,126.25,151,189.5,219.00000000000009,DS_Dur_WS,22595619,observed,10255810
227.4,250,268,312,340.6,DS_Tim,22595619,observed,10255810
0,0,0,0,0.31500000000000017,DS_Mag_50,22595619,observed,10255810
0,0,0,0.5,1.160000000000001,DS_Mag_90,22595619,observed,10255810
4.6,5.5,7,11,18.40000000000001,FA_Dur,22595619,observed,10255810
2.353054245841603,2.8812839623774544,3.42802430342182,4.3684314221952665,5.470183402107775,FA_Mag,22595619,observed,10255810
7,10.5,19,48.5,57.400000000000006,FA_Tim,22595619,observed,10255810
